,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
458,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1600.0,12.0,3.4,0.2,55.0,35,5.0,0.355,23.3802816901408,1.7710843373494,2.37258467833598
314,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.1,55.0,22,4.0,0.23,35.0869565217391,1.69392812887237,0.865785488090321
468,MIL-125,MIL-125,Matrimid 9725,150.0,930.0,10.7,5.5,0.2,,35,9.0,0.133333333333333,30.0,3.65,1.36666666666667
464,MIL-125,MIL-125,Matrimid 9725,1750.0,1040.0,10.7,5.5,0.3,,35,9.0,0.133333333333333,30.0,3.375,1.24
448,MIL-53,MIL-53,FDH,100.0,795.0,7.8,7.8,0.1,,35,11.2,3.0,18.0333333333333,0.870609981515712,4.35304990757856
416,MIL-125,MIL-125,PSF,650.0,1300.0,10.7,6.0,0.3,10.0,30,3.0,0.431818181818182,22.0,4.21052631578947,1.32727272727273
46,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.84390243902439,1.02180991583216
181,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.1,50.0,3,10.0,13.1,19.5419847328244,1.17578125,0.981065883757962
68,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,2.31818181818182,0.853667608986758
538,UiO-67,UiO-67,6FDA-ODA,1000.0,1998.0,21.0,11.7,0.25,30.0,35,11.2,0.33,43.6363636363636,1.44444444444444,0.340476190476191
471,MIL-101,MIL-101,SPEEK,500.0,3175.0,19.9,7.5,0.2,65.0,25,1.0,75.3968253968254,7.56,1.80701754385965,1.36111111111111
82,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,2.28571428571429,0.935255570117955
134,Co4(μ4-O)(Me2pzba)3,Co4(μ4-O)(Me2pzba)3,Matrimid 5218,3000.0,1850.0,14.0,6.0,0.24,90.0,30,3.0,0.21,41.4285714285714,1.49425287356322,1.42633228840125
